id,icao24,callsign,estDepartureAirport,estArrivalAirport,firstSeen,lastSeen,flight_duration_minutes,total_distance_km,airport_pair,firstSeen_time,lastSeen_time
36498,3c644b,DLH1UT  ,EDDM,,1741170961,1741174847,64.76666666666667,1.273,,2025-03-05 10:36:01,2025-03-05 11:40:47
35760,3c644b,DLH1UT  ,EDDM,,1741170961,1741174847,64.76666666666667,1.273,,2025-03-05 10:36:01,2025-03-05 11:40:47
36560,4d2208,RYR1ED  ,EIDW,EGKK,1741171044,1741174834,63.166666666666664,7.669,EIDW-EGKK,2025-03-05 10:37:24,2025-03-05 11:40:34
35997,4d2208,RYR1ED  ,EIDW,EGKK,1741171044,1741174834,63.166666666666664,7.669,EIDW-EGKK,2025-03-05 10:37:24,2025-03-05 11:40:34
36506,400942,BAW73B  ,LSZM,EGLL,1741170343,1741174811,74.46666666666667,4.45,LSZM-EGLL,2025-03-05 10:25:43,2025-03-05 11:40:11
35774,400942,BAW73B  ,LSZM,EGLL,1741170343,1741174811,74.46666666666667,4.45,LSZM-EGLL,2025-03-05 10:25:43,2025-03-05 11:40:11
36640,e491f0,TAM3208 ,SBGR,SDSB,1741172846,1741174804,32.63333333333333,40.437,SBGR-SDSB,2025-03-05 11:07:26,2025-03-05 11:40:04
36454,e491f0,TAM3208 ,SBGR,SDSB,1741172846,1741174804,32.63333333333333,40.437,SBGR-SDSB,2025-03-05 11:07:26,2025-03-05 11:40:04
36643,e4945e,PTGAD   ,SBFZ,SNFF,1741172833,1741174789,32.6,98.77,SBFZ-SNFF,2025-03-05 11:07:13,2025-03-05 11:39:49
36457,e4945e,PTGAD   ,SBFZ,SNFF,1741172833,1741174789,32.6,98.77,SBFZ-SNFF,2025-03-05 11:07:13,2025-03-05 11:39:49
36650,e8026a,LPE2132 ,SOML,SPPG,1741173426,1741174784,22.633333333333333,88.504,SOML-SPPG,2025-03-05 11:17:06,2025-03-05 11:39:44
36471,e8026a,LPE2132 ,SOML,SPPG,1741173426,1741174784,22.633333333333333,88.504,SOML-SPPG,2025-03-05 11:17:06,2025-03-05 11:39:44
36486,30024a,IDPCF   ,LIRA,LIQN,1741173909,1741174776,14.45,23.421,LIRA-LIQN,2025-03-05 11:25:09,2025-03-05 11:39:36
35707,30024a,IDPCF   ,LIRA,LIQN,1741173909,1741174776,14.45,23.421,LIRA-LIQN,2025-03-05 11:25:09,2025-03-05 11:39:36
36479,06a014,A7HHJ   ,,ZGSD,1741151138,1741174742,393.4,13.882,,2025-03-05 05:05:38,2025-03-05 11:39:02
35680,06a014,A7HHJ   ,,ZGSD,1741151138,1741174742,393.4,13.882,,2025-03-05 05:05:38,2025-03-05 11:39:02
36636,ae5718,CNV545  ,,,1741157622,1741174741,285.31666666666666,0.0,,2025-03-05 06:53:42,2025-03-05 11:39:01
36428,ae5718,CNV545  ,,,1741157622,1741174741,285.31666666666666,0.0,,2025-03-05 06:53:42,2025-03-05 11:39:01
36614,880848,AIQ3074 ,VTCC,VTSB,1741169441,1741174725,88.06666666666666,8.516,VTCC-VTSB,2025-03-05 10:10:41,2025-03-05 11:38:45
36331,880848,AIQ3074 ,VTCC,VTSB,1741169441,1741174725,88.06666666666666,8.516,VTCC-VTSB,2025-03-05 10:10:41,2025-03-05 11:38:45
36500,3c6751,DLH5NC  ,EDDM,EPGD,1741170373,1741174721,72.46666666666667,3.83,EDDM-EPGD,2025-03-05 10:26:13,2025-03-05 11:38:41
35765,3c6751,DLH5NC  ,EDDM,EPGD,1741170373,1741174721,72.46666666666667,3.83,EDDM-EPGD,2025-03-05 10:26:13,2025-03-05 11:38:41
36572,71c017,JNA603  ,RKSS,RKD1,1741173199,1741174719,25.333333333333332,23.759,RKSS-RKD1,2025-03-05 11:13:19,2025-03-05 11:38:39
36053,71c017,JNA603  ,RKSS,RKD1,1741173199,1741174719,25.333333333333332,23.759,RKSS-RKD1,2025-03-05 11:13:19,2025-03-05 11:38:39
36538,4a6303,YRXXC   ,,,1741169757,1741174713,82.6,0.0,,2025-03-05 10:15:57,2025-03-05 11:38:33
36485,152052,SVR2949 ,,UD21,1741163458,1741174713,187.58333333333334,16.361,,2025-03-05 08:30:58,2025-03-05 11:38:33
35910,4a6303,YRXXC   ,,,1741169757,1741174713,82.6,0.0,,2025-03-05 10:15:57,2025-03-05 11:38:33
35704,152052,SVR2949 ,,UD21,1741163458,1741174713,187.58333333333334,16.361,,2025-03-05 08:30:58,2025-03-05 11:38:33
36637,c01276,SUNDOG1 ,ETMN,EDOP,1741173304,1741174702,23.3,24.63,ETMN-EDOP,2025-03-05 11:15:04,2025-03-05 11:38:22
36430,c01276,SUNDOG1 ,ETMN,EDOP,1741173304,1741174702,23.3,24.63,ETMN-EDOP,2025-03-05 11:15:04,2025-03-05 11:38:22
36548,4bce02,TKJ4MH  ,,,1741170551,1741174651,68.33333333333333,0.0,,2025-03-05 10:29:11,2025-03-05 11:37:31
35963,4bce02,TKJ4MH  ,,,1741170551,1741174651,68.33333333333333,0.0,,2025-03-05 10:29:11,2025-03-05 11:37:31
36552,4ca9c3,RYR2KY  ,LIPQ,,1741172836,1741174617,29.683333333333334,0.325,,2025-03-05 11:07:16,2025-03-05 11:36:57
35976,4ca9c3,RYR2KY  ,LIPQ,,1741172836,1741174617,29.683333333333334,0.325,,2025-03-05 11:07:16,2025-03-05 11:36:57
36535,48c12c,RYR36DX ,LBSF,EHEH,1741166162,1741174592,140.5,2.264,LBSF-EHEH,2025-03-05 09:16:02,2025-03-05 11:36:32
35891,48c12c,RYR36DX ,LBSF,EHEH,1741166162,1741174592,140.5,2.264,LBSF-EHEH,2025-03-05 09:16:02,2025-03-05 11:36:32
36622,8963b2,FDB7VH  ,OMDB,,1741173074,1741174573,24.983333333333334,1.24,,2025-03-05 11:11:14,2025-03-05 11:36:13
36362,8963b2,FDB7VH  ,OMDB,,1741173074,1741174573,24.983333333333334,1.24,,2025-03-05 11:11:14,2025-03-05 11:36:13
